Unit_Price,Total_Price,Discount,Quantity,Customer_Type,Cluster
1.87,124.54,0.1,74.0,B2B,1
1.87,31.98,0.05,18.0,B2B,3
1.64,6.560000000000002,0.0,4.0,B2C,0
1.74,8.7,0.0,5.0,B2C,0
1.8,27.0,0.0,15.0,B2C,0
0.98,5.590000000000003,0.05,6.0,B2B,3
1.28,37.7,0.05,31.0,B2B,3
1.3,88.92,0.1,76.0,B2B,1
1.26,3.780000000000001,0.0,3.0,B2C,0
3.46,48.44,0.0,14.0,B2C,2
3.33,39.96,0.0,12.0,B2C,2
1.59,4.769999999999996,0.0,3.0,B2C,0
1.27,8.89,0.0,7.0,B2C,0
2.98,116.07,0.05,41.0,B2B,1
3.31,26.48,0.0,8.0,B2C,2
2.93,20.51,0.0,7.0,B2C,2
1.76,26.93,0.1,17.0,B2B,3
0.93,7.440000000000001,0.0,8.0,B2C,0
0.5699999999999998,2.5600000000000023,0.1,5.0,B2B,3
2.11,6.329999999999998,0.0,3.0,B2C,0
0.55,1.6499999999999986,0.0,3.0,B2C,0
2.35,2.3500000000000014,0.0,1.0,B2C,0
3.23,38.76,0.0,12.0,B2C,2
1.43,38.61,0.1,30.0,B2B,3
2.19,30.66,0.0,14.0,B2C,0
0.52,14.509999999999998,0.1,31.0,B2B,3
0.5899999999999999,4.719999999999999,0.0,8.0,B2C,0
2.91,152.05,0.05,55.0,B2B,1
1.19,10.71,0.0,9.0,B2C,0
0.99,5.939999999999998,0.0,6.0,B2C,0
0.95,40.18,0.1,47.0,B2B,3
3.23,9.689999999999998,0.0,3.0,B2C,2
1.16,4.640000000000001,0.0,4.0,B2C,0
1.42,19.88,0.0,14.0,B2C,0
1.59,4.769999999999996,0.0,3.0,B2C,0
1.02,65.18,0.1,71.0,B2B,1
3.12,9.36,0.0,3.0,B2C,2
1.53,22.95,0.0,15.0,B2C,0
1.16,82.82,0.15,84.0,B2B,1
3.46,41.52,0.0,12.0,B2C,2
2.2,118.8,0.1,60.0,B2B,1
3.31,13.240000000000002,0.0,4.0,B2C,2
0.45999999999999996,6.899999999999999,0.0,15.0,B2C,0
1.64,99.71,0.05,64.0,B2B,1
0.55,3.8500000000000014,0.0,7.0,B2C,0
1.09,6.539999999999999,0.0,6.0,B2C,0
2.27,11.350000000000001,0.0,5.0,B2C,0
0.89,28.75,0.05,34.0,B2B,3
0.45999999999999996,0.46000000000000085,0.0,1.0,B2C,0
1.04,10.399999999999999,0.0,10.0,B2C,0
